,filename,precision,recall,f1_score
0,F:\Datasets\TFMTestRemake\BibNumbersTest\bib_number_0005.jpg,0.0,0.0,0
1,F:\Datasets\TFMTestRemake\BibNumbersTest\bib_number_0008.jpg,0.0,0.0,0
2,F:\Datasets\TFMTestRemake\BibNumbersTest\bib_number_0010.jpg,0.3333333333333333,0.6666666666666666,0.4444444444444444
3,F:\Datasets\TFMTestRemake\BibNumbersTest\bib_number_0011.jpg,0.0,0.0,0
4,F:\Datasets\TFMTestRemake\BibNumbersTest\bib_number_0012.jpg,0.0,0.0,0
5,F:\Datasets\TFMTestRemake\BibNumbersTest\bib_number_0015.jpg,0.3333333333333333,1.0,0.5
6,F:\Datasets\TFMTestRemake\BibNumbersTest\bib_number_0024.jpg,0.1,0.125,0.11111111111111112
7,F:\Datasets\TFMTestRemake\BibNumbersTest\bib_number_0040.jpg,0.0,0.0,0
8,F:\Datasets\TFMTestRemake\BibNumbersTest\bib_number_0041.jpg,0.25,0.5,0.3333333333333333
9,F:\Datasets\TFMTestRemake\BibNumbersTest\bib_number_0056.jpg,0.0,0.0,0
10,F:\Datasets\TFMTestRemake\BibNumbersTest\bib_number_0058.jpg,0.14285714285714285,0.5,0.22222222222222224
11,F:\Datasets\TFMTestRemake\BibNumbersTest\bib_number_0062.jpg,0.0,0.0,0
12,F:\Datasets\TFMTestRemake\BibNumbersTest\bib_number_0071.jpg,0.0,0.0,0
13,F:\Datasets\TFMTestRemake\BibNumbersTest\bib_number_0073.jpg,0.0,0.0,0
14,F:\Datasets\TFMTestRemake\BibNumbersTest\bib_number_0078.jpg,0.0,0.0,0
15,F:\Datasets\TFMTestRemake\BibNumbersTest\bib_number_0084.jpg,0.0,0.0,0
16,F:\Datasets\TFMTestRemake\BibNumbersTest\bib_number_0090.jpg,1.0,1.0,1.0
17,F:\Datasets\TFMTestRemake\BibNumbersTest\bib_number_0091.jpg,0.0,0.0,0
18,F:\Datasets\TFMTestRemake\BibNumbersTest\bib_number_0096.jpg,0.0,0.0,0
19,F:\Datasets\TFMTestRemake\BibNumbersTest\bib_number_0098.jpg,0.0,0.0,0
20,F:\Datasets\TFMTestRemake\BibNumbersTest\bib_number_0111.jpg,0.0,0.0,0
21,F:\Datasets\TFMTestRemake\BibNumbersTest\bib_number_0112.jpg,0.0,0.0,0
22,F:\Datasets\TFMTestRemake\BibNumbersTest\bib_number_0114.jpg,0.0,0.0,0
23,F:\Datasets\TFMTestRemake\BibNumbersTest\bib_number_0119.jpg,0.0,0.0,0
24,F:\Datasets\TFMTestRemake\BibNumbersTest\bib_number_0127.jpg,0.5,0.25,0.3333333333333333
25,F:\Datasets\TFMTestRemake\BibNumbersTest\bib_number_0133.jpg,0.0,0.0,0
26,F:\Datasets\TFMTestRemake\BibNumbersTest\bib_number_0134.jpg,0.0,0.0,0
27,F:\Datasets\TFMTestRemake\BibNumbersTest\bib_number_0143.jpg,0.0,0.0,0
28,F:\Datasets\TFMTestRemake\BibNumbersTest\bib_number_0149.jpg,0.0,0.0,0
29,F:\Datasets\TFMTestRemake\BibNumbersTest\bib_number_0156.jpg,0.0,0.0,0
30,F:\Datasets\TFMTestRemake\BibNumbersTest\bib_number_0159.jpg,0.0,0.0,0
31,F:\Datasets\TFMTestRemake\BibNumbersTest\bib_number_0160.jpg,0.0,0.0,0
32,F:\Datasets\TFMTestRemake\BibNumbersTest\bib_number_0164.jpg,0.0,0.0,0
33,F:\Datasets\TFMTestRemake\BibNumbersTest\bib_number_0173.jpg,0.0,0.0,0
34,F:\Datasets\TFMTestRemake\BibNumbersTest\bib_number_0174.jpg,0.0,0.0,0
35,F:\Datasets\TFMTestRemake\BibNumbersTest\bib_number_0182.jpg,0.0,0.0,0
