,filename,precision,recall,f1_score
0,F:\Datasets\TFMTestRemake\BibNumberTestSegResultsBase\0_bib_number_0005.jpg,0.0,0,0
1,F:\Datasets\TFMTestRemake\BibNumberTestSegResultsBase\100_bib_number_0188.jpg,1.0,1.0,1.0
2,F:\Datasets\TFMTestRemake\BibNumberTestSegResultsBase\101_bib_number_0188.jpg,0.0,0,0
3,F:\Datasets\TFMTestRemake\BibNumberTestSegResultsBase\102_bib_number_0188.jpg,0.0,0.0,0
4,F:\Datasets\TFMTestRemake\BibNumberTestSegResultsBase\103_bib_number_0188.jpg,0.3333333333333333,1.0,0.5
5,F:\Datasets\TFMTestRemake\BibNumberTestSegResultsBase\104_bib_number_0192.jpg,0.0,0.0,0
6,F:\Datasets\TFMTestRemake\BibNumberTestSegResultsBase\105_bib_number_0192.jpg,0.0,0.0,0
7,F:\Datasets\TFMTestRemake\BibNumberTestSegResultsBase\106_bib_number_0192.jpg,0.0,0,0
8,F:\Datasets\TFMTestRemake\BibNumberTestSegResultsBase\107_bib_number_0194.jpg,0.5,1.0,0.6666666666666666
9,F:\Datasets\TFMTestRemake\BibNumberTestSegResultsBase\108_bib_number_0204.jpg,0.0,0.0,0
10,F:\Datasets\TFMTestRemake\BibNumberTestSegResultsBase\109_bib_number_0204.jpg,0.0,0,0
11,F:\Datasets\TFMTestRemake\BibNumberTestSegResultsBase\10_bib_number_0010.jpg,0.0,0,0
12,F:\Datasets\TFMTestRemake\BibNumberTestSegResultsBase\110_bib_number_0204.jpg,0.0,0,0
13,F:\Datasets\TFMTestRemake\BibNumberTestSegResultsBase\111_bib_number_0204.jpg,0.0,0,0
14,F:\Datasets\TFMTestRemake\BibNumberTestSegResultsBase\112_bib_number_0204.jpg,0.0,0,0
15,F:\Datasets\TFMTestRemake\BibNumberTestSegResultsBase\113_bib_number_0204.jpg,0.0,0,0
16,F:\Datasets\TFMTestRemake\BibNumberTestSegResultsBase\114_bib_number_0204.jpg,0.0,0,0
17,F:\Datasets\TFMTestRemake\BibNumberTestSegResultsBase\115_bib_number_0209.jpg,0.0,0.0,0
18,F:\Datasets\TFMTestRemake\BibNumberTestSegResultsBase\116_bib_number_0210.jpg,0.0,0.0,0
19,F:\Datasets\TFMTestRemake\BibNumberTestSegResultsBase\117_bib_number_0215.jpg,0.0,0.0,0
20,F:\Datasets\TFMTestRemake\BibNumberTestSegResultsBase\118_bib_number_0222.jpg,0.0,0.0,0
21,F:\Datasets\TFMTestRemake\BibNumberTestSegResultsBase\119_bib_number_0224.jpg,0.0,0,0
22,F:\Datasets\TFMTestRemake\BibNumberTestSegResultsBase\11_bib_number_0010.jpg,0.0,0,0
23,F:\Datasets\TFMTestRemake\BibNumberTestSegResultsBase\120_bib_number_0228.jpg,0.0,0.0,0
24,F:\Datasets\TFMTestRemake\BibNumberTestSegResultsBase\121_bib_number_0228.jpg,0.0,0,0
25,F:\Datasets\TFMTestRemake\BibNumberTestSegResultsBase\122_bib_number_0230.jpg,1.0,1.0,1.0
26,F:\Datasets\TFMTestRemake\BibNumberTestSegResultsBase\123_bib_number_0230.jpg,0.0,0,0
27,F:\Datasets\TFMTestRemake\BibNumberTestSegResultsBase\124_bib_number_0230.jpg,0.5,1.0,0.6666666666666666
28,F:\Datasets\TFMTestRemake\BibNumberTestSegResultsBase\125_bib_number_0230.jpg,0.0,0,0
29,F:\Datasets\TFMTestRemake\BibNumberTestSegResultsBase\126_bib_number_0230.jpg,0.0,0,0
30,F:\Datasets\TFMTestRemake\BibNumberTestSegResultsBase\127_bib_number_0230.jpg,0.0,0,0
31,F:\Datasets\TFMTestRemake\BibNumberTestSegResultsBase\128_bib_number_0230.jpg,0.0,0,0
32,F:\Datasets\TFMTestRemake\BibNumberTestSegResultsBase\129_bib_number_0230.jpg,0.0,0,0
33,F:\Datasets\TFMTestRemake\BibNumberTestSegResultsBase\12_bib_number_0010.jpg,0.0,0,0
34,F:\Datasets\TFMTestRemake\BibNumberTestSegResultsBase\130_bib_number_0230.jpg,1.0,1.0,1.0
35,F:\Datasets\TFMTestRemake\BibNumberTestSegResultsBase\131_bib_number_0238.jpg,0.0,0.0,0
36,F:\Datasets\TFMTestRemake\BibNumberTestSegResultsBase\132_bib_number_0238.jpg,0.0,0,0
37,F:\Datasets\TFMTestRemake\BibNumberTestSegResultsBase\133_bib_number_0238.jpg,0.0,0,0
38,F:\Datasets\TFMTestRemake\BibNumberTestSegResultsBase\134_bib_number_0245.jpg,0.5,1.0,0.6666666666666666
39,F:\Datasets\TFMTestRemake\BibNumberTestSegResultsBase\135_bib_number_0245.jpg,0.0,0,0
40,F:\Datasets\TFMTestRemake\BibNumberTestSegResultsBase\136_bib_number_0245.jpg,0.0,0.0,0
41,F:\Datasets\TFMTestRemake\BibNumberTestSegResultsBase\137_bib_number_0245.jpg,1.0,1.0,1.0
42,F:\Datasets\TFMTestRemake\BibNumberTestSegResultsBase\138_bib_number_0245.jpg,0.0,0,0
43,F:\Datasets\TFMTestRemake\BibNumberTestSegResultsBase\139_bib_number_0245.jpg,0.0,0.0,0
44,F:\Datasets\TFMTestRemake\BibNumberTestSegResultsBase\13_bib_number_0010.jpg,0.0,0.0,0
45,F:\Datasets\TFMTestRemake\BibNumberTestSegResultsBase\140_bib_number_0245.jpg,0.0,0.0,0
46,F:\Datasets\TFMTestRemake\BibNumberTestSegResultsBase\141_bib_number_0245.jpg,0.0,0,0
47,F:\Datasets\TFMTestRemake\BibNumberTestSegResultsBase\142_bib_number_0254.jpg,0.0,0,0
48,F:\Datasets\TFMTestRemake\BibNumberTestSegResultsBase\143_bib_number_0254.jpg,0.0,0.0,0
49,F:\Datasets\TFMTestRemake\BibNumberTestSegResultsBase\144_bib_number_0255.jpg,0.0,0,0
50,F:\Datasets\TFMTestRemake\BibNumberTestSegResultsBase\145_bib_number_0259.jpg,0.0,0,0
51,F:\Datasets\TFMTestRemake\BibNumberTestSegResultsBase\146_bib_number_0259.jpg,0.0,0,0
52,F:\Datasets\TFMTestRemake\BibNumberTestSegResultsBase\147_bib_number_0260.jpg,0.0,0,0
53,F:\Datasets\TFMTestRemake\BibNumberTestSegResultsBase\148_bib_number_0260.jpg,0.0,0,0
54,F:\Datasets\TFMTestRemake\BibNumberTestSegResultsBase\149_bib_number_0260.jpg,0.0,0,0
55,F:\Datasets\TFMTestRemake\BibNumberTestSegResultsBase\14_bib_number_0011.jpg,0.0,0.0,0
56,F:\Datasets\TFMTestRemake\BibNumberTestSegResultsBase\150_bib_number_0260.jpg,0.0,0,0
57,F:\Datasets\TFMTestRemake\BibNumberTestSegResultsBase\151_bib_number_0260.jpg,0.0,0,0
58,F:\Datasets\TFMTestRemake\BibNumberTestSegResultsBase\152_bib_number_0260.jpg,0.0,0,0
59,F:\Datasets\TFMTestRemake\BibNumberTestSegResultsBase\154_bib_number_0264.jpg,0.0,0,0
60,F:\Datasets\TFMTestRemake\BibNumberTestSegResultsBase\155_bib_number_0265.jpg,0.0,0.0,0
61,F:\Datasets\TFMTestRemake\BibNumberTestSegResultsBase\156_bib_number_0274.jpg,0.0,0,0
62,F:\Datasets\TFMTestRemake\BibNumberTestSegResultsBase\157_bib_number_0274.jpg,0.0,0,0
63,F:\Datasets\TFMTestRemake\BibNumberTestSegResultsBase\158_bib_number_0277.jpg,0.0,0.0,0
64,F:\Datasets\TFMTestRemake\BibNumberTestSegResultsBase\159_bib_number_0281.jpg,0.0,0,0
65,F:\Datasets\TFMTestRemake\BibNumberTestSegResultsBase\15_bib_number_0011.jpg,0.0,0,0
66,F:\Datasets\TFMTestRemake\BibNumberTestSegResultsBase\160_bib_number_0281.jpg,0.0,0.0,0
67,F:\Datasets\TFMTestRemake\BibNumberTestSegResultsBase\161_bib_number_0281.jpg,0.0,0,0
68,F:\Datasets\TFMTestRemake\BibNumberTestSegResultsBase\162_bib_number_0288.jpg,0.0,0.0,0
69,F:\Datasets\TFMTestRemake\BibNumberTestSegResultsBase\163_bib_number_0288.jpg,0.0,0.0,0
70,F:\Datasets\TFMTestRemake\BibNumberTestSegResultsBase\164_bib_number_0297.jpg,0.0,0.0,0
